arch,condition,mitigation,device,target,metric,value,data_source
gnn,mixed_cadence,none,cuda,pv,mbe,-50.19083023071289,
gnn,mixed_cadence,none,cuda,pv,efe,19.42533302307129,
gnn,mixed_cadence,none,cuda,pv,pinball_q10,16.778772354125977,
gnn,mixed_cadence,none,cuda,pv,pinball_q50,54.41372680664063,
gnn,mixed_cadence,none,cuda,pv,pinball_q90,51.77596664428711,
gnn,mixed_cadence,none,cuda,pv,coverage,0.8706751763520323,
gnn,mixed_cadence,none,cuda,pv,sharpness,333.0853271484375,
gnn,mixed_cadence,none,cuda,pv,export_violation_rate,0.4824767663195611,
gnn,mixed_cadence,none,cuda,pv,export_violation_count,4309.0,
gnn,mixed_cadence,none,cuda,pv,export_violation_mag,6.267702102661133,
gnn,mixed_cadence,none,cuda,pv,nrmse,0.0622581718680668,
gnn,mixed_cadence,none,cuda,pv,nmae,0.0155130984800368,
gnn,mixed_cadence,none,cuda,pv,nmbe,-0.0071545852292995,
gnn,mixed_cadence,none,cuda,pv,npinball_q10,0.002391774678737,
gnn,mixed_cadence,none,cuda,pv,npinball_q50,0.0077565492400184,
gnn,mixed_cadence,none,cuda,pv,npinball_q90,0.0073805427103543,
gnn,mixed_cadence,none,cuda,pv,nsharpness,0.0474805328136283,
gnn,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.0008934462466394,
cvae,control_5min,none,cuda,pv,rmse,307.4068908691406,
cvae,control_5min,none,cuda,pv,rmse_maxnorm,0.010673850774765,
cvae,control_5min,none,cuda,pv,mae,84.731201171875,
cvae,control_5min,none,cuda,pv,mape,58.998416900634766,
cvae,control_5min,none,cuda,pv,r2,0.8986918926203269,
cvae,control_5min,none,cuda,pv,mbe,-27.421974182128903,
cvae,control_5min,none,cuda,pv,efe,10.613112449645996,
cvae,control_5min,none,cuda,pv,pinball_q10,14.211065292358398,
cvae,control_5min,none,cuda,pv,pinball_q50,42.3656005859375,
cvae,control_5min,none,cuda,pv,pinball_q90,29.767372131347656,
cvae,control_5min,none,cuda,pv,coverage,0.9090807300414288,
cvae,control_5min,none,cuda,pv,sharpness,245.0723876953125,
cvae,control_5min,none,cuda,pv,export_violation_rate,0.0110849848841115,
cvae,control_5min,none,cuda,pv,export_violation_count,99.0,
cvae,control_5min,none,cuda,pv,export_violation_mag,166.09544372558594,
cvae,control_5min,none,cuda,pv,nrmse,0.0438201166482101,
cvae,control_5min,none,cuda,pv,nmae,0.012078229959637,
cvae,control_5min,none,cuda,pv,nmbe,-0.0039089367970499,
cvae,control_5min,none,cuda,pv,npinball_q10,0.0020257533493989,
cvae,control_5min,none,cuda,pv,npinball_q50,0.0060391149798185,
cvae,control_5min,none,cuda,pv,npinball_q90,0.0042432676620173,
cvae,control_5min,none,cuda,pv,nsharpness,0.0349344823914031,
cvae,control_5min,none,cuda,pv,nexport_violation_mag,0.0236765080256112,
cvae,mixed_cadence,none,cuda,pv,rmse,320.2767944335937,
cvae,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0111207226291298,
cvae,mixed_cadence,none,cuda,pv,mae,88.10901641845703,
cvae,mixed_cadence,none,cuda,pv,mape,59.89689636230469,
cvae,mixed_cadence,none,cuda,pv,r2,0.8888995440808328,
cvae,mixed_cadence,none,cuda,pv,mbe,-33.9366340637207,
cvae,mixed_cadence,none,cuda,pv,efe,13.134485244750977,
cvae,mixed_cadence,none,cuda,pv,pinball_q10,14.671509742736816,
cvae,mixed_cadence,none,cuda,pv,pinball_q50,44.05450820922852,
cvae,mixed_cadence,none,cuda,pv,pinball_q90,32.04610061645508,
cvae,mixed_cadence,none,cuda,pv,coverage,0.9018027096629716,
cvae,mixed_cadence,none,cuda,pv,sharpness,236.97352600097656,
cvae,mixed_cadence,none,cuda,pv,export_violation_rate,0.0117568021498152,
cvae,mixed_cadence,none,cuda,pv,export_violation_count,105.0,
cvae,mixed_cadence,none,cuda,pv,export_violation_mag,147.7982940673828,
cvae,mixed_cadence,none,cuda,pv,nrmse,0.0456546906027856,
cvae,mixed_cadence,none,cuda,pv,nmae,0.0125597294397002,
cvae,mixed_cadence,none,cuda,pv,nmbe,-0.0048375859731553,
cvae,mixed_cadence,none,cuda,pv,npinball_q10,0.0020913886039261,
cvae,mixed_cadence,none,cuda,pv,npinball_q50,0.0062798647198501,
cvae,mixed_cadence,none,cuda,pv,npinball_q90,0.0045680949544202,
cvae,mixed_cadence,none,cuda,pv,nsharpness,0.0337800090379915,
cvae,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.0210682931281334,
linear,control_5min,none,cuda,pv,rmse,514.5679321289062,
linear,control_5min,none,cuda,pv,rmse_maxnorm,0.0178669393062591,
linear,control_5min,none,cuda,pv,mae,132.20208740234375,
linear,control_5min,none,cuda,pv,mape,66.8747329711914,
linear,control_5min,none,cuda,pv,r2,0.7290553502680234,
linear,control_5min,none,cuda,pv,mbe,-71.93636322021484,
linear,control_5min,none,cuda,pv,efe,27.841503143310547,
linear,control_5min,none,cuda,pv,pinball_q10,17.811918258666992,
linear,control_5min,none,cuda,pv,pinball_q50,66.10104370117188,
linear,control_5min,none,cuda,pv,pinball_q90,57.49510192871094,
linear,control_5min,none,cuda,pv,coverage,0.7592654797894972,
linear,control_5min,none,cuda,pv,sharpness,265.45123291015625,
linear,control_5min,none,cuda,pv,export_violation_rate,0.2742134139514052,
linear,control_5min,none,cuda,pv,export_violation_count,2449.0,
linear,control_5min,none,cuda,pv,export_violation_mag,22.014997482299805,
linear,control_5min,none,cuda,pv,nrmse,0.0733504528567824,
linear,control_5min,none,cuda,pv,nmae,0.0188450977492017,
linear,control_5min,none,cuda,pv,nmbe,-0.0102543599972158,
linear,control_5min,none,cuda,pv,npinball_q10,0.0025390472062956,
linear,control_5min,none,cuda,pv,npinball_q50,0.0094225488746008,
linear,control_5min,none,cuda,pv,npinball_q90,0.0081957920425972,
linear,control_5min,none,cuda,pv,nsharpness,0.0378394511776016,
linear,control_5min,none,cuda,pv,nexport_violation_mag,0.003138186299886,
linear,mixed_cadence,none,cuda,pv,rmse,514.5679321289062,
linear,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0178669393062591,
linear,mixed_cadence,none,cuda,pv,mae,132.20208740234375,
linear,mixed_cadence,none,cuda,pv,mape,66.8747329711914,
linear,mixed_cadence,none,cuda,pv,r2,0.7290553502702761,
linear,mixed_cadence,none,cuda,pv,mbe,-71.93636322021484,
linear,mixed_cadence,none,cuda,pv,efe,27.841503143310547,
linear,mixed_cadence,none,cuda,pv,pinball_q10,17.811918258666992,
linear,mixed_cadence,none,cuda,pv,pinball_q50,66.10104370117188,
linear,mixed_cadence,none,cuda,pv,pinball_q90,57.49510192871094,
linear,mixed_cadence,none,cuda,pv,coverage,0.7592654797894972,
linear,mixed_cadence,none,cuda,pv,sharpness,265.45123291015625,
linear,mixed_cadence,none,cuda,pv,export_violation_rate,0.2742134139514052,
linear,mixed_cadence,none,cuda,pv,export_violation_count,2449.0,
linear,mixed_cadence,none,cuda,pv,export_violation_mag,22.014997482299805,
linear,mixed_cadence,none,cuda,pv,nrmse,0.0733504528567824,
linear,mixed_cadence,none,cuda,pv,nmae,0.0188450977492017,
linear,mixed_cadence,none,cuda,pv,nmbe,-0.0102543599972158,
linear,mixed_cadence,none,cuda,pv,npinball_q10,0.0025390472062956,
linear,mixed_cadence,none,cuda,pv,npinball_q50,0.0094225488746008,
linear,mixed_cadence,none,cuda,pv,npinball_q90,0.0081957920425972,
linear,mixed_cadence,none,cuda,pv,nsharpness,0.0378394511776016,
linear,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.003138186299886,
svr,control_5min,none,cuda,pv,rmse,652.878662109375,
svr,control_5min,none,cuda,pv,rmse_maxnorm,0.0226693954318761,
svr,control_5min,none,cuda,pv,mae,141.08509826660156,
svr,control_5min,none,cuda,pv,mape,63.025657653808594,
svr,control_5min,none,cuda,pv,r2,0.6387003826486282,
svr,control_5min,none,cuda,pv,mbe,-79.6270980834961,
svr,control_5min,none,cuda,pv,efe,30.818044662475582,
svr,control_5min,none,cuda,pv,pinball_q10,21.814287185668945,
svr,control_5min,none,cuda,pv,pinball_q50,70.54254913330078,
svr,control_5min,none,cuda,pv,pinball_q90,56.74674987792969,
svr,control_5min,none,cuda,pv,coverage,0.7677751651550778,
svr,control_5min,none,cuda,pv,sharpness,476.025146484375,
svr,control_5min,none,cuda,pv,export_violation_rate,0.299630500503863,
svr,control_5min,none,cuda,pv,export_violation_count,2676.0,
svr,control_5min,none,cuda,pv,export_violation_mag,51.52624130249024,
svr,control_5min,none,cuda,pv,nrmse,0.0930663232901502,
svr,control_5min,none,cuda,pv,nmae,0.0201113501309413,
svr,control_5min,none,cuda,pv,nmbe,-0.0113506562290646,
svr,control_5min,none,cuda,pv,npinball_q10,0.0031095755174573,
svr,control_5min,none,cuda,pv,npinball_q50,0.0100556750654706,
svr,control_5min,none,cuda,pv,npinball_q90,0.0080891162114897,
svr,control_5min,none,cuda,pv,nsharpness,0.067856269086543,
svr,control_5min,none,cuda,pv,nexport_violation_mag,0.007344944948102,
svr,mixed_cadence,none,cuda,pv,rmse,652.878662109375,
svr,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0226693954318761,
svr,mixed_cadence,none,cuda,pv,mae,141.08509826660156,
svr,mixed_cadence,none,cuda,pv,mape,63.025657653808594,
svr,mixed_cadence,none,cuda,pv,r2,0.6387003824032067,
svr,mixed_cadence,none,cuda,pv,mbe,-79.6270980834961,
svr,mixed_cadence,none,cuda,pv,efe,30.818044662475582,
svr,mixed_cadence,none,cuda,pv,pinball_q10,21.814287185668945,
svr,mixed_cadence,none,cuda,pv,pinball_q50,70.54254913330078,
svr,mixed_cadence,none,cuda,pv,pinball_q90,56.74674987792969,
svr,mixed_cadence,none,cuda,pv,coverage,0.7677751651550778,
svr,mixed_cadence,none,cuda,pv,sharpness,476.025146484375,
svr,mixed_cadence,none,cuda,pv,export_violation_rate,0.299630500503863,
svr,mixed_cadence,none,cuda,pv,export_violation_count,2676.0,
svr,mixed_cadence,none,cuda,pv,export_violation_mag,51.52624130249024,
svr,mixed_cadence,none,cuda,pv,nrmse,0.0930663232901502,
svr,mixed_cadence,none,cuda,pv,nmae,0.0201113501309413,
svr,mixed_cadence,none,cuda,pv,nmbe,-0.0113506562290646,
svr,mixed_cadence,none,cuda,pv,npinball_q10,0.0031095755174573,
svr,mixed_cadence,none,cuda,pv,npinball_q50,0.0100556750654706,
svr,mixed_cadence,none,cuda,pv,npinball_q90,0.0080891162114897,
svr,mixed_cadence,none,cuda,pv,nsharpness,0.067856269086543,
svr,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.007344944948102,
cvae,control_5min,none,cuda,pv,rmse,153.5403289794922,real_p1
cvae,control_5min,none,cuda,pv,rmse_maxnorm,0.0573768056929111,real_p1
cvae,control_5min,none,cuda,pv,mae,59.88874816894531,real_p1
cvae,control_5min,none,cuda,pv,mape,39.5000228881836,real_p1
cvae,control_5min,none,cuda,pv,r2,0.9437328860017,real_p1
cvae,control_5min,none,cuda,pv,mbe,-2.017258644104004,real_p1
cvae,control_5min,none,cuda,pv,efe,0.5706301331520081,real_p1
cvae,control_5min,none,cuda,pv,pinball_q10,12.299699783325195,real_p1
cvae,control_5min,none,cuda,pv,pinball_q50,29.944374084472656,real_p1
cvae,control_5min,none,cuda,pv,pinball_q90,21.08149719238281,real_p1
cvae,control_5min,none,cuda,pv,coverage,0.8733333333333333,real_p1
cvae,control_5min,none,cuda,pv,sharpness,212.9395904541016,real_p1
cvae,control_5min,none,cuda,pv,export_violation_rate,0.0,real_p1
